step,loss_function,target_value,elapsed_time
36700,7.75029e-03,3.68735e+00,960
36800,9.75290e-03,3.68965e+00,963
36900,7.54767e-03,3.68594e+00,965
37000,7.08013e-03,3.68103e+00,968
37100,6.57496e-03,3.69038e+00,971
37200,6.06371e-03,3.69213e+00,973
37300,7.92099e-03,3.69389e+00,976
37400,9.41059e-03,3.70233e+00,978
37500,7.43488e-03,3.69448e+00,981
37600,7.89719e-03,3.70648e+00,983
37700,8.54359e-03,3.71095e+00,986
37800,7.23839e-03,3.69994e+00,989
37900,9.63137e-03,3.71057e+00,991
38000,7.77376e-03,3.71071e+00,994
38100,6.31460e-03,3.71802e+00,996
38200,7.17055e-03,3.71718e+00,999
38300,6.85220e-03,3.72302e+00,1002
38400,7.62584e-03,3.72239e+00,1004
38500,8.44766e-03,3.72743e+00,1007
38600,7.52968e-03,3.72306e+00,1009
38700,7.09289e-03,3.72674e+00,1012
38800,6.47667e-03,3.73669e+00,1015
38900,7.68340e-03,3.74515e+00,1017
39000,6.87231e-03,3.73053e+00,1020
39100,7.82473e-03,3.73969e+00,1022
39200,6.77142e-03,3.74776e+00,1025
39300,6.12092e-03,3.73550e+00,1028
39400,6.63628e-03,3.74460e+00,1030
39500,6.32867e-03,3.74973e+00,1033
39600,5.46543e-03,3.75265e+00,1035
39700,7.78452e-03,3.76163e+00,1038
39800,5.80253e-03,3.75191e+00,1040
39900,9.26319e-03,3.76028e+00,1043
40000,7.93556e-03,3.76561e+00,1046
40100,8.47055e-03,3.76363e+00,1048
40200,8.47010e-03,3.77571e+00,1051
40300,6.95636e-03,3.77091e+00,1053
40400,6.37423e-03,3.77423e+00,1056
40500,6.00227e-03,3.77695e+00,1058
40600,8.69414e-03,3.79119e+00,1061
40700,5.96154e-03,3.78509e+00,1064
40800,6.96150e-03,3.78454e+00,1066
40900,7.85124e-03,3.78491e+00,1069
41000,1.04059e-02,3.79187e+00,1071
41100,6.34646e-03,3.79430e+00,1074
41200,7.89402e-03,3.80326e+00,1077
41300,5.45368e-03,3.79044e+00,1079
41400,5.42279e-03,3.79323e+00,1082
41500,5.84230e-03,3.80771e+00,1084
41600,7.58303e-03,3.80904e+00,1087
41700,5.60782e-03,3.80309e+00,1089
41800,6.26000e-03,3.80031e+00,1092
41900,7.33152e-03,3.81266e+00,1095
42000,7.84442e-03,3.81891e+00,1097
42100,8.36309e-03,3.82036e+00,1100
42200,6.52812e-03,3.81711e+00,1102
42300,6.77867e-03,3.82027e+00,1105
42400,5.58753e-03,3.81470e+00,1107
42500,8.88829e-03,3.82378e+00,1110
42600,6.89185e-03,3.81757e+00,1113
42700,9.49560e-03,3.83084e+00,1115
42800,7.63993e-03,3.83756e+00,1118
42900,8.78016e-03,3.83111e+00,1120
43000,8.30370e-03,3.83186e+00,1123
43100,5.88771e-03,3.83733e+00,1125
43200,7.26044e-03,3.84712e+00,1128
43300,6.88175e-03,3.84395e+00,1131
43400,6.59983e-03,3.85508e+00,1133
43500,5.29137e-03,3.84725e+00,1136
43600,5.66846e-03,3.84740e+00,1138
43700,7.09700e-03,3.84729e+00,1141
43800,5.57130e-03,3.84874e+00,1144
43900,6.70403e-03,3.85348e+00,1146
44000,6.65049e-03,3.85842e+00,1149
44100,1.01791e-02,3.86371e+00,1151
